filename,Artistic Categories,Score,Theme and logic,Creativity,Layout and composition,Space and perspective,The sense of order,Light and shadow,Color,Details and texture,The overall,Mood
422028f2a0ed4cc2b24b6c21371dd3b7.png,oil painting*classicism*landscapes,1.833,3.83,,3,3,3.67,3,3,3,2.83,3
e933c226087b498b8ef60f305db304c6.png,oil painting*classicism*landscapes,2.143,3.43,,2.71,2.43,3.14,2.57,3.29,3,3.43,2.71
8a7152ff656a4676a3bb16440483ec7c.jpg,oil painting*classicism*landscapes,2.167,3.83,,2.83,2.33,2.83,2.5,2.67,3,2.5,2.67
22fe91fd78584a6dadcb7fc50f8c4696.png,oil painting*classicism*landscapes,2.333,3.5,,3,2.83,3.5,2.83,3,3.33,3.17,3
daf6f76f52f948e483d83d043a9c93be.jpg,oil painting*classicism*landscapes,2.571,3.86,,3.43,3.29,3.29,3.29,3,3.29,3.29,3.14
fa70519092c54e1291f4edd2d11bf04e.jpg,oil painting*classicism*landscapes,2.688,2.62,,2.38,2.38,2.38,2.38,2.5,2.5,2.38,2.88
6ad05a0cd5944addb7cba11b6d31af35.png,oil painting*classicism*landscapes,2.75,4.67,,4.33,5,4.5,4.17,4.33,4.17,4.17,4.5
6b6e4573d465486a89e801a2c6bb1adc.png,oil painting*classicism*landscapes,2.917,3.83,,3.33,3.5,3.83,3.67,3.5,3.83,3.5,3.67
d1c3ba23bf77414f80b0f8c594b3420a.png,oil painting*classicism*landscapes,3.071,3.86,,3.43,3,3.86,3.43,2.86,3.71,3.43,2.86
dfc2222d5a924d8896939f653db6f774.png,oil painting*classicism*landscapes,3.143,5.57,,3.86,3.14,3.43,3.14,3.71,3.57,3.57,3
755ef58f134a433b8b44ccfa78eb30e0.png,oil painting*classicism*landscapes,3.167,4.83,,3.83,3.33,4,4,4,4.17,4,3.5
9301640b8e3544ff997ae12fd1102337.jpg,oil painting*classicism*landscapes,3.167,3.67,,3.33,3.17,3.5,3.5,3.17,3.17,3.67,3.33
b58f7aa64c7b4e759cdb4381b25cb4db.jpg,oil painting*classicism*landscapes,3.167,4.33,,4.33,4.17,4.67,3.83,3.83,4.5,4.33,4
034fad34579f4f8ea8dbfe1ac31158d6.png,oil painting*classicism*landscapes,3.2,3.4,,3.4,3.8,3.6,3.2,3.6,3.2,3.6,2.8
3067b1996884444880d4d24bc53f328d.png,oil painting*classicism*landscapes,3.25,3.67,,3.67,3.67,3.5,3.67,3.67,4,3.83,4.33
5dde6aa6ff6d44769fb6b939d16bcad4.png,oil painting*classicism*landscapes,3.333,4.17,,4,3.83,3.67,3.33,4.5,3.67,4.17,4.17
58ef2bf25b9443a3a1cb6ccdd72f7c41.png,oil painting*classicism*landscapes,3.417,4.67,,3.67,3,4.17,3.5,4,3.67,3.83,3.83
a33a41055ddd4415a3bc0ead1ff89281.png,oil painting*classicism*landscapes,3.417,4.17,,4,3.83,4,3.83,4,4.17,4.17,4
a37e5464b07d41b5b87b128fa217313f.jpg,oil painting*classicism*landscapes,3.417,3.67,,3,3.33,3.5,3.17,3.17,3.33,3.33,3.17
